stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\User\Documents\CSI2P-Final-Project-Template\CSI2P-Final-Project-Template\SourceCode\allegro5.cfg r
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:780  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:783  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.7
audio-dsound I           dsound.cpp:271  _dsound_open                     [   0.00067] Starting DirectSound...
audio-dsound D           dsound.cpp:280  _dsound_open                     [   0.16007] DirectSoundCreate8 succeeded
audio-dsound I           dsound.cpp:73   get_window                       [   0.16019] Using desktop window: 000000000001000c
audio    I              audio.c:347  do_install_audio                 [   0.16034] Using DirectSound driver
dtor     D               dtor.c:196  _al_register_destructor          [   0.16038] added dtor for timer 00000000018e8cc0, func 00007ff8a9fcfb3b
dtor     D               dtor.c:196  _al_register_destructor          [   0.16043] added dtor for queue 00000000018eadb0, func 00007ff8a9fbc5dc
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.16077] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:780  load_library_at_path             [   0.16081] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:783  load_library_at_path             [   0.16366] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:684  d3d_init_display                 [   0.26106] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.26439] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1783 d3d_create_display_locked        [   0.26452] al_display=00000000018eb370
d3d      D         d3d_disp.cpp:1784 d3d_create_display_locked        [   0.26461] al_display->vt=00000000018eb200
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.30226] found 192 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.30241] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
