stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\User\Documents\CSI2P-Final-Project-Template\CSI2P-Final-Project-Template\SourceCode\allegro5.cfg r
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:780  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:783  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.7
audio-dsound I           dsound.cpp:271  _dsound_open                     [   0.00074] Starting DirectSound...
audio-dsound D           dsound.cpp:280  _dsound_open                     [   0.13721] DirectSoundCreate8 succeeded
audio-dsound I           dsound.cpp:73   get_window                       [   0.13733] Using desktop window: 000000000001000c
audio    I              audio.c:347  do_install_audio                 [   0.13748] Using DirectSound driver
dtor     D               dtor.c:196  _al_register_destructor          [   0.13752] added dtor for timer 0000000002d96d50, func 00007ffcc0c8fb3b
dtor     D               dtor.c:196  _al_register_destructor          [   0.13756] added dtor for queue 0000000002d96e60, func 00007ffcc0c7c5dc
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.13792] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:780  load_library_at_path             [   0.13796] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:783  load_library_at_path             [   0.14115] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:684  d3d_init_display                 [   0.22146] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.22253] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1783 d3d_create_display_locked        [   0.22258] al_display=00000000015ca1b0
d3d      D         d3d_disp.cpp:1784 d3d_create_display_locked        [   0.22261] al_display->vt=00000000015ca040
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.24014] found 192 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.24024] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
